dateiname	tbeg_klass_art	erlaeuterung
lk20110428_1bvl000110	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20110621_2bvl001508	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20110818_1bvl001011	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20110819_1bvl001511	SVM-WE-Satz	automatisch annotiert in ebene-Tags
lk20120315_2bvl000811	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20120503_2bvl001708	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20120906_1bvl001312	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20120912_1bvl001112	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20120925_1bvl000611	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20121005_1bvl001712	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20121120_1bvl001310	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20121205_1bvl002012	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20130417_2bvl002008	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20130903_1bvl000712	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20131202_1bvl000512	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20140304_2bvl000213	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20140909_1bvl000214	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20141211_1bvl001612	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20150311_1bvl000814	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20150905_1bvl000915	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20151229_1bvl000411	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20160215_1bvl000812	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20160506_1bvl000715	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20160616_1bvl000914	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20161221_1bvl001014	Regeln-Absatz	automatisch annotiert in ebene-Tags
lk20170712_2bvl000117	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20170719_2bvl000417	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20171006_1bvl000215	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20171205_2bvl001217	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20180306_1bvl000116	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20180709_1bvl000218	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20190717_2bvl001119	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20190718_1bvl000118	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20190814_2bvl001219	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20191009_2bvl001319	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20191204_1bvl000416	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20200205_2bvl000719	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20200226_1bvl000120	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20200226_1bvl000519	Regeln-Satz	automatisch annotiert in ebene-Tags
lk20200520_1bvl000220	Regeln-Satz	automatisch annotiert in ebene-Tags
ls20140123_1bvl000213	Regeln-Satz	automatisch annotiert in ebene-Tags
qk19980305_2bvq000598	Regeln-Satz	automatisch annotiert in ebene-Tags
qk19980422_2bvq001598	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk19980605_2bvq002198	Regeln-Satz	automatisch annotiert in ebene-Tags
qk19980725_1bvq001198	Regeln-Satz	automatisch annotiert in ebene-Tags
qk19980811_2bvq002898	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk19990311_2bvq000499	Regeln-Satz	automatisch annotiert in ebene-Tags
qk19990420_1bvq000299	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk19990624_2bvq002899	Regeln-Satz	automatisch annotiert in ebene-Tags
qk19990720_1bvq001099	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk19990728_1bvq000599	Regeln-Satz	automatisch annotiert in ebene-Tags
qk19990806_2bvq003499	Regeln-Satz	automatisch annotiert in ebene-Tags
qk19990820_2bvq003099	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20000112_2bvq006099	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20000203_2bvq000200	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20000421_1bvq001000	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20000515_1bvq000800	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20000629_1bvq000800	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20000721_1bvq001700	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20000808_1bvq002100	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20000811_1bvq002200	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20000818_1bvq002300	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20000901_1bvq002400	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20000925_2bvq003000	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20010112_1bvq003800	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20010126_1bvq000801	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20010126_1bvq000901	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20010324_1bvq001301	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20010326_1bvq001501	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20010326_1bvq001601	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20010404_2bvq000601	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20010407_1bvq001701	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20010412_1bvq002001	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20010425_2bvq001501	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20010501_1bvq002101	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20010501_1bvq002201	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20010711_1bvq002901	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20010712_1bvq002801	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20010731_1bvq003201	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20011212_1bvq004801	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20020301_1bvq000502	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20020329_1bvq000902	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20020411_1bvq001202	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20020610_2bvq001702	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20020612_1bvq001902	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20020614_2bvq003202	Regeln-Absatz	automatisch annotiert in ebene-Tags
qk20020620_2bvq003102	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20020709_2bvq002502	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20020728_1bvq002502	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20020808_1bvq002702	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20030128_1bvq000203	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20030213_2bvq000303	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20030310_2bvq000603	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20030314_1bvq001003	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20030407_2bvq001403	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20030701_1bvq002303	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20030717_1bvq002603	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20030814_1bvq003003	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20030905_1bvq003203	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20031218_2bvq007003	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20040312_1bvq000604	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20040701_1bvq002004	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20040728_1bvq002604	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20040831_1bvq003604	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20040927_1bvq003904	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20050816_1bvq002505	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20050902_2bvq002505	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20050913_2bvq003105	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20051202_1bvq003505	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20060126_1bvq000306	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20060127_1bvq000406	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20060412_2bvq002206	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20060510_1bvq001406	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20060619_1bvq001706	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20060814_1bvq002506	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20070207_2bvq006206	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20070527_1bvq001607	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20080916_1bvq003708	Regeln-Satz	automatisch annotiert in ebene-Tags
